8;0,421052632
10;0,526315789
18;0,947368421
8;0,421052632
6;0,315789474
6;0,315789474
3;0,157894737
3;0,157894737
8;0,421052632
7;0,368421053
5;0,263157895
3;0,157894737
6;0,315789474
4;0,210526316
3;0,157894737
10;0,526315789
9;0,473684211
6;0,315789474
7;0,368421053
5;0,263157895
2;0,105263158
5;0,263157895
9;0,473684211
4;0,210526316
9;0,473684211
10;0,526315789
6;0,315789474
5;0,263157895
7;0,368421053
2;0,105263158
5;0,263157895
32;1,684210526
5;0,263157895
15;0,789473684
4;0,210526316
33;1,736842105
